station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
London Liverpool Street,London,Network Rail,LST,98015658,35286688,50038262,12690708,6534549,1
London Waterloo,London,Network Rail,WAT,70389546,23538702,35973920,10876924,4464632,2
London Paddington,London,Network Rail,PAD,69897084,18153760,45604450,6138874,3848407,3
Tottenham Court Road,London,London Underground,TCR,68133826,18656278,42310604,7166944,60,4
London Bridge,London,Network Rail,LBG,54685648,17233582,28084008,9368058,6980031,5
London Victoria,London,Network Rail,VIC,53784358,15611522,29692306,8480530,3232110,6
Stratford (London),London,Elizabeth line,SRA,51473518,14805516,29495416,7172586,4873825,7
Farringdon,London,London Underground,ZFD,50171290,19253304,25818328,5099658,9341764,8
Bond Street,London,London Underground,BDS,42752242,12604416,25509428,4638398,11198,9
London Euston,London,Network Rail,EUS,40248974,5155132,32611086,2482756,2432912,10
London St Pancras International,London,Network Rail,STP,38842772,8706410,24340754,5795608,2741892,11
Whitechapel,London,London Underground,ZLW,37140828,10871908,21691906,4577014,13770478,12
Birmingham New Street,West Midlands,Network Rail,BHM,36623678,9647958,19704558,7271162,5641463,13
London Kings Cross,London,Network Rail,KGX,27727108,2200682,23981176,1545250,1552750,14
Manchester Piccadilly,North West,Network Rail,MAN,27401610,5581272,19321368,2498970,2144028,15
Leeds,Yorkshire and The Humber,Network Rail,LDS,27309508,7051004,17166038,3092466,2877961,16
Glasgow Central,Scotland,Network Rail,GLC,25293930,7962152,14653014,2678764,3879568,17
Clapham Junction,London,Network Rail,CLJ,24447510,7816618,12419082,4211810,20404411,18
Highbury and Islington,London,London Underground,HHY,23982528,7151888,14110800,2719840,3233923,19
Edinburgh,Scotland,Network Rail,EDB,22755164,6010362,15941824,802978,1583408,20
Gatwick Airport,South East,Govia Thameslink Railway (Gatwick Express),GTW,21211048,9480506,11258634,471908,1156551,21
East Croydon,London,Govia Thameslink Railway (Southern),ECR,20592106,6584922,10687194,3319990,3709103,22
London Charing Cross,London,Network Rail,CHX,19767784,5425312,11337910,3004562,315874,23
Canada Water,London,London Underground,ZCW,18668762,5720954,10427400,2520408,3719,24
Canary Wharf,London,Elizabeth line,CWX,15927588,5085332,9099738,1742518,145,25
Vauxhall,London,South Western Railway,VXH,15534168,5302680,7384224,2847264,0,26
Ealing Broadway,London,Elizabeth line,EAL,15456598,4507718,8899036,2049844,85703,27
Brighton,South East,Govia Thameslink Railway (Southern),BTN,15328450,3166942,10528348,1633160,1297590,28
London Blackfriars,London,Govia Thameslink Railway (Thameslink),BFR,15193088,5550722,7724618,1917748,2234915,29
Glasgow Queen Street,Scotland,ScotRail,GLQ,14950752,4876534,8944234,1129984,2008872,30
Liverpool Central,North West,Merseyrail,LVC,14820216,3819598,9130830,1869788,1018090,31
Liverpool Lime Street,North West,Network Rail,LIV,14430214,3719084,8890546,1820584,986504,32
Reading,South East,Network Rail,RDG,14324664,3479892,9263712,1581060,4057839,33
Woolwich,London,Elizabeth line,WWC,13755990,3755444,7613578,2386968,0,34
Barking,London,c2c,BKG,13359426,3879828,6913846,2565752,1162662,35
Wimbledon,London,South Western Railway,WIM,13244436,4214946,6831498,2197992,917370,36
Cardiff Central,Wales,TfW Rail,CDF,12513720,6773434,4571086,1169200,1779150,37
Romford,London,Elizabeth line,RMF,12143302,3818468,7017736,1307098,641463,38
Abbey Wood,London,Elizabeth line,ABW,11873686,3782112,6137708,1953866,1879075,39
London Marylebone,London,Chiltern Railways,MYB,11772892,3073274,7148930,1550688,1036405,40
Finsbury Park,London,Govia Thameslink Railway (Great Northern),FPK,11176026,4072916,5847938,1255172,2202802,41
West Ham,London,London Underground,WEH,11065018,3570670,5849420,1644928,5599,42
Ilford,London,Elizabeth line,IFD,10927468,2906020,6365222,1656226,47,43
Bristol Temple Meads,South West,Network Rail,BRI,10877308,2912290,7458690,506328,1644247,44
London Fenchurch Street,London,c2c,FST,10862630,5404074,3655110,1803446,843565,45
Cambridge,East of England,Greater Anglia,CBG,10597572,2798744,6352454,1446374,579281,46
Newcastle,North East,London North Eastern Railway,NCL,10548216,604434,9580790,362992,428980,47
York,Yorkshire and The Humber,London North Eastern Railway,YRK,10464102,540326,9357008,566768,1247676,48
Sheffield,Yorkshire and The Humber,East Midlands Railway,SHF,10315220,1615410,8075052,624758,937768,49
Stansted Airport,East of England,Greater Anglia,SSD,10090904,6681642,3384228,25034,2276,50
Custom House,London,Elizabeth line,CUS,9794628,2602272,5861314,1331042,0,51
Richmond (London),London,South Western Railway,RMD,9515642,2875140,5487884,1152618,1110813,52
Tottenham Hale,London,Greater Anglia,TOM,9256456,3627230,4768296,860930,751212,53
Moorgate,London,London Underground,MOG,8791382,3167286,4795450,828646,380285,54
Hayes and Harlington,London,Elizabeth line,HAY,8450164,2491012,4908378,1050774,187003,55
Seven Sisters,London,London Overground,SVS,8394182,2614984,4768996,1010202,17,56
Manchester Victoria,North West,Northern Trains,MCV,8378502,1706568,5907832,764102,1183890,57
Oxford,South East,Great Western Railway,OXF,8145214,1044754,6448338,652122,539490,58
Nottingham,East Midlands,East Midlands Railway,NOT,8112724,1793270,5887362,432092,557919,59
Heathrow Terminals 2 and 3 (Rail Station Only),London,Heathrow Express,HXX,7938962,2903148,4772414,263400,0,60
Southall,London,Elizabeth line,STL,7669160,2133060,4570508,965592,0,61
City Thameslink,London,Govia Thameslink Railway (Thameslink),CTK,7635634,3949342,2668752,1017540,298478,62
Surbiton,London,South Western Railway,SUR,7589564,2622084,3921760,1045720,635591,63
London Cannon Street,London,Network Rail,CST,7507972,3696786,2320644,1490542,258224,64
Shoreditch High Street,London,London Overground,SDC,7294534,2052134,4687106,555294,383375,65
Birmingham Moor Street,West Midlands,Chiltern Railways,BMO,7148012,2154818,3026684,1966510,448181,66
Willesden Junction,London,London Overground,WIJ,7041954,2216958,3838022,986974,2424898,67
Chelmsford,East of England,Greater Anglia,CHM,7030130,2707378,2608912,1713840,77269,68
Lewisham,London,Southeastern,LEW,7023970,2028308,3321472,1674190,1504910,69
Watford Junction,East of England,West Midlands Trains (London Northwestern Railway),WFJ,6940122,1956278,4424140,559704,381822,70
Shepherd's Bush,London,London Overground,SPB,6931918,2052396,3664142,1215380,10289,71
London Waterloo East,London,Southeastern,WAE,6841002,2048474,3701036,1091492,802753,72
Coventry,West Midlands,Avanti West Coast,COV,6826768,1681198,4091060,1054510,506355,73
St Albans City,East of England,Govia Thameslink Railway (Thameslink),SAC,6668998,2531990,3435140,701868,110208,74
Moorfields,North West,Merseyrail,MRF,6630098,1708768,4084846,836484,851735,75
Woking,South East,South Western Railway,WOK,6522202,2276534,3210504,1035164,1363139,76
Bath Spa,South West,Great Western Railway,BTH,6510506,1126126,5063410,320970,206808,77
